company_name,description,category,location,source,cleaned_description,combined,cluster,cluster_name,cluster_quality,tags,startup_cluster,startup_cluster_name,startup_cluster_quality
JSX Tool,AI-First In-Browser IDE for React Development,"Engineering, Product and Design",,yc_2025,ai first in browser ide for react development,"JSX Tool ai first in browser ide for react development Engineering, Product and Design",6,Enterprise Software / SaaS / IT Products,clean,AI,2,Fintech Startups,clean
Zephyr Fusion,Powering tomorrow's industrial revolution in space,Energy,"San Diego, CA, USA",yc_2025,powering tomorrow s industrial revolution in space,Zephyr Fusion powering tomorrow s industrial revolution in space Energy,3,Industrial / Electronics / Manufacturing,mixed,Other,6,EdTech Startups,clean
Mayflower,AI plug-in that automates HR immigration screening and compliance,,"San Francisco, CA, USA",yc_2025,ai plug in that automates hr immigration screening and compliance,Mayflower ai plug in that automates hr immigration screening and compliance,6,Enterprise Software / SaaS / IT Products,clean,"AI, HRTech",7,Ops / Logistics / Business Tools,mostly_clean
item,The AI-Native CRM that works for you,Sales,"San Francisco, CA, USA",yc_2025,the ai native crm that works for you,item the ai native crm that works for you Sales,6,Enterprise Software / SaaS / IT Products,clean,AI,0,AI Tools / Automation,clean
Rivet,Visual editor to design in production code,"Engineering, Product and Design","San Francisco, CA, USA",yc_2025,visual editor to design in production code,"Rivet visual editor to design in production code Engineering, Product and Design",6,Enterprise Software / SaaS / IT Products,clean,DevTools,6,EdTech Startups,clean
Openroll,AI-Native Workday,,"Stockholm, Stockholm County, Sweden",yc_2025,ai native workday,Openroll ai native workday,6,Enterprise Software / SaaS / IT Products,clean,AI,2,Fintech Startups,clean
Fixpoint,Uber for AI trainers and human-in-the-loop supervisors,Human Resources,,yc_2025,uber for ai trainers and human in the loop supervisors,Fixpoint uber for ai trainers and human in the loop supervisors Human Resources,6,Enterprise Software / SaaS / IT Products,clean,AI,2,Fintech Startups,clean
Bear,Marketing Stack for AI Agents,Marketing,"San Francisco, CA, USA",yc_2025,marketing stack for ai agents,Bear marketing stack for ai agents Marketing,6,Enterprise Software / SaaS / IT Products,clean,AI,0,AI Tools / Automation,clean
Moss,Real-time semantic search for Conversational AI,,"San Mateo, CA, USA",yc_2025,real time semantic search for conversational ai,Moss real time semantic search for conversational ai,6,Enterprise Software / SaaS / IT Products,clean,AI,2,Fintech Startups,clean
Zarna,AI Associates for Private Capital,Finance and Accounting,"San Francisco, CA, USA",yc_2025,ai associates for capital,Zarna ai associates for capital Finance and Accounting,5,Banking / Financial Services / Insurance,clean,"AI, Fintech, DevTools",0,AI Tools / Automation,clean
MarkIt,AI Agents for Trade Compliance - Saving Companies from Tariffs,Supply Chain and Logistics,"San Francisco, CA, USA",yc_2025,ai agents for trade compliance saving companies from tariffs,MarkIt ai agents for trade compliance saving companies from tariffs Supply Chain and Logistics,6,Enterprise Software / SaaS / IT Products,clean,"AI, Logistics",0,AI Tools / Automation,clean
